Topic,Count,Name,CustomName,Representation,Representative_Docs
0,19367,0_de_la_que_el,"de, la, que","['de', 'la', 'que', 'el', 'en', 'los', 'un', 'del', 'las', 'de la']",
1,2129,1_elecciones_pp_partido_las elecciones,"elecciones, pp, partido","['elecciones', 'pp', 'partido', 'las elecciones', 'ha', 'que', 'el', 'del', 'la', 'en']",
2,1754,2_de_en_un_los,"de, en, un","['de', 'en', 'un', 'los', 'la', 'animales', 'una', 'el', 'se', 'que']",
3,1573,3_pelicula_de_que_en,"pelicula, de, que","['pelicula', 'de', 'que', 'en', 'cine', 'una', 'la', 'el', 'los', 'un']",
4,1284,4_policia_la policia_detenido_de anos,"policia, la policia, detenido","['policia', 'la policia', 'detenido', 'de anos', 'un', 'hombre', 'en', 'de', 'anos', 'una']",
5,1085,5_prision_anos_de prision_por,"prision, anos, de prision","['prision', 'anos', 'de prision', 'por', 'de', 'tribunal', 'la', 'la audiencia', 'audiencia', 'delito']",
6,1003,6_musica_cancion_la musica_banda,"musica, cancion, la musica","['musica', 'cancion', 'la musica', 'banda', 'de', 'en', 'the', 'su', 'disco', 'el']",
7,979,7_banco_inflacion_tipos_la inflacion,"banco, inflacion, tipos","['banco', 'inflacion', 'tipos', 'la inflacion', 'los', 'bancos', 'el', 'de interes', 'de', 'el banco']",
8,882,8_sanidad_huelga_medicos_atencion,"sanidad, huelga, medicos","['sanidad', 'huelga', 'medicos', 'atencion', 'la sanidad', 'primaria', 'de', 'atencion primaria', 'la', 'salud']",
9,769,9_temperaturas_calor_grados_temperatura,"temperatur, calor, grados","['temperaturas', 'calor', 'grados', 'temperatura', 'climatico', 'mas', 'de calor', 'cambio climatico', 'el', 'en']",
10,754,10_espacial_la_nasa_la tierra,"espacial, la, nasa","['espacial', 'la', 'nasa', 'la tierra', 'luna', 'la luna', 'la nasa', 'tierra', 'el', 'de']",
11,752,11_futbol_el_en_que,"futbol, el, en","['futbol', 'el', 'en', 'que', 'del', 'la', 'se', 'de', 'un', 'al']",
12,700,12_energia_de energia_gas_electricidad,"energia, de energia, gas","['energia', 'de energia', 'gas', 'electricidad', 'de', 'el', 'renovables', 'la', 'en', 'hidrogeno']",
13,619,13_trabajadores_laboral_trabajo_de trabajo,"trabajador, laboral, trabajo","['trabajadores', 'laboral', 'trabajo', 'de trabajo', 'empleo', 'que', 'de', 'los', 'el', 'en']",
14,572,14_inteligencia artificial_artificial_inteligencia_chatgpt,"inteligenc, artificial, inteligenc","['inteligencia artificial', 'artificial', 'inteligencia', 'chatgpt', 'ia', 'la inteligencia artificial', 'la inteligencia', 'google', 'gpt', 'openai']",
15,533,15_vivienda_alquiler_viviendas_la vivienda,"vivienda, alquiler, viviendas","['vivienda', 'alquiler', 'viviendas', 'la vivienda', 'de vivienda', 'de', 'los', 'de viviendas', 'la', 'en']",
16,520,16_vineta_satirica_satirica de_vergara,"vineta, satirica, satirica d","['vineta', 'satirica', 'satirica de', 'vergara', 'bernardo vergara', 'de bernardo', 'bernardo', 'de bernardo vergara', 'vineta satirica de', 'vineta satirica']",
17,503,17_coches_coche_vehiculos_electricos,"coches, coche, vehiculos","['coches', 'coche', 'vehiculos', 'electricos', 'los coches', 'de', 'que', 'los', 'de coches', 'un']",
18,488,18_mujeres_violencia_trans_las mujeres,"mujeres, violencia, trans","['mujeres', 'violencia', 'trans', 'las mujeres', 'de genero', 'genero', 'ley', 'la violencia', 'igualdad', 'las']",
19,418,19_carne_de_que_es,"carne, de, que","['carne', 'de', 'que', 'es', 'en', 'alimentos', 'comer', 'la', 'comida', 'un']",
20,403,20_aborto_embarazo_el aborto_mujeres,"aborto, embarazo, el aborto","['aborto', 'embarazo', 'el aborto', 'mujeres', 'que', 'la', 'el', 'gestacion', 'de', 'del aborto']",
21,362,21_agua_de agua_donana_de,"agua, de agua, donana","['agua', 'de agua', 'donana', 'de', 'del agua', 'la', 'el agua', 'del', 'el', 'sequia']",
22,361,22_educacion_alumnos_centros_que,"educacion, alumnos, centros","['educacion', 'alumnos', 'centros', 'que', 'los', 'de', 'la', 'las', 'estudiantes', 'en']",
23,356,23_twitter_musk_elon_elon musk,"twitter, musk, elon","['twitter', 'musk', 'elon', 'elon musk', 'de twitter', 'red social', 'la red social', 'red', 'la red', 'plataforma']",
24,348,24_arte_museo_fotografia_artista,"arte, museo, fotografia","['arte', 'museo', 'fotografia', 'artista', 'fotografo', 'de', 'el', 'en', 'fotografias', 'obras']",
25,341,25_israel_israeli_palestinos_de israel,"israel, israeli, palestinos","['israel', 'israeli', 'palestinos', 'de israel', 'israelies', 'palestina', 'netanyahu', 'cisjordania', 'palestino', 'de']",
26,327,26_constitucional_tribunal_tribunal constitucional_el,"constituci, tribunal, tribunal c","['constitucional', 'tribunal', 'tribunal constitucional', 'el', 'del', 'ley', 'reforma', 'cgpj', 'judicial', 'gobierno']",
27,291,27_covid_virus_vacunas_vacuna,"covid, virus, vacunas","['covid', 'virus', 'vacunas', 'vacuna', 'gripe', 'las vacunas', 'coronavirus', 'la vacuna', 'aviar', 'de']",
28,288,28_cocaina_cannabis_drogas_droga,"cocaina, cannabis, drogas","['cocaina', 'cannabis', 'drogas', 'droga', 'de cocaina', 'medicamentos', 'de', 'de drogas', 'en', 'la']",
29,285,29_datos_de datos_google_proteccion de datos,"datos, de datos, google","['datos', 'de datos', 'google', 'proteccion de datos', 'de', 'proteccion de', 'de proteccion de', 'usuarios', 'informacion', 'de proteccion']",
