story,Crime_0,Crime_1,Crime_2,Crime_3,Crime_4,Crime_5,Crime_6,Crime_7,Crime_8,Crypto/net_0,Crypto/net_1,Crypto/net_2,Inflation_0,Inflation_1,Inflation_2,Politics_0,Politics_1,Politics_2,Politics_3,Politics_4,Politics_5,Politics_6,Politics_7,Politics_8,Politics_9,Politics_10,Politics_11,Politics_12,Politics_13,Public services_0,Public services_1,Public services_2,Public services_3,Public services_4,Public services_5,Russia_0,Russia_1,Russia_2,Russia_3,Russia_4,Russia_5,Russia_6,Russia_7,Russia_8
20minutos,0.11617866071057273,0.09492192734643509,-0.1591647969620972,0.12275553552899421,0.5750991684255751,0.2927389442798564,-0.058947886551824646,-0.028749841425759193,-0.09990666345954563,,,,,,,0.010670075719759066,0.6499902094995,-0.14024573820365865,0.08611007254434473,-0.09167571009175775,-0.0334401089090004,-0.049582016989423966,-0.0678936274660988,-0.014214326972847809,0.0743745419136141,0.9167707273572826,1.066138103947832,-0.15126519270620567,0.13543378499295242,-0.6611494171606966,0.177534924073454,-0.30561781860986637,-0.03326039388312105,0.33041606761120146,-0.6209762803361426,-0.0434155887358375,0.5027952561566162,-0.21459216023575206,-0.2537824947188769,-0.020445620436822395,0.045177378849496366,0.3376304573055584,0.3088379773634603,0.1631336565929961
antena3,-0.021228262957490293,-0.06343099006504835,-0.22472878395399953,0.002731132376910023,-0.11554436854062819,0.020187996841306656,0.14589967304235577,0.09336372533990644,0.09914652741142801,,,,,,,-0.010825024660322556,0.2389139375648622,-0.10243556154266875,0.19967971591078376,-0.1687857322361655,-0.080719400067517,-0.2547610372187083,-0.04914301821222164,-0.027106379175131475,0.17418478701747572,0.21242393139681998,-0.24626401558145652,-0.18748840086032437,0.00546394669859764,,,,,,,,,,,,,,,
cadenaser,0.18471913805257006,0.16121622341082784,-0.3181967051933794,0.02070005984090661,-0.038189842109184094,-0.10007399758275193,0.15172454077693698,0.0032854237246876736,-0.21201637549750657,,,,,,,-0.02219021020078677,-0.0018065009633373898,-0.0016661571207106443,-0.17834432994214106,-0.041270251130987264,0.04329072145982777,-0.12670704993892032,-0.04670058967829229,0.03244250389206528,0.03338071844179898,0.03723777469128318,-0.07124303473645324,-0.0083107757015945,0.06143532420235494,0.2655960766069074,0.007946296081120303,-0.013509241598947824,-0.015476471433798804,-0.10592132144930776,0.03511671887981377,0.20165812933665012,0.6605193727533085,0.28589352703417403,-0.6441256384912728,-0.08022007956288381,-0.021020558460523003,0.13465576372228533,1.3877525814494427,-0.7594231433902137
catalunyapress,-0.06999309783434016,-0.47908415034783614,-0.13688982662632895,0.7059411221180334,0.18360236322828372,-0.1523048536215285,-0.272175920681014,-0.044431918280293387,0.24351660160943844,,,,,,,-0.0456203383472086,-0.0016048229724938655,-0.018287501215839243,0.054615025398123934,0.051466791342351104,-0.13444571230622257,-0.10485456896743615,0.08409155975877787,-0.0711816998746432,0.07545943763955172,-0.04388867612069171,0.054462605290535065,-0.2298255779432921,0.008655544993829305,,,,,,,,,,,,,,,
diariosur,-0.3032977502815034,-0.0750606761566806,-0.10342847018593289,-0.19166542749047083,-0.4178425920003425,0.1581544324051316,0.4854958098062425,0.36486380418775666,-0.2658848214135651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eldiario,0.6141829616273223,0.07443060876782834,-0.12867293066363528,0.02688524305594585,-0.20401998327328846,-0.04989009862773164,0.07784291441622762,0.04743799349219387,0.1407572175826915,,,,-0.36782128002865533,-0.24000080724585,0.05069510839790803,-0.007526904090734296,-0.009853279348959383,0.01579780388409942,-0.2824616375238861,-0.03279031773634381,0.060320418161665806,-0.031023948735468702,-0.019776366433084936,0.0011047654280750773,-0.03903724549001538,-0.02054767182923624,0.020597504119877715,0.002733930564782312,-0.02288030730303541,0.14341762590137147,0.008106682244252993,-0.005473801157157589,-0.021140021819929487,0.01879254885297123,-0.05279023328706117,-0.027343520109225423,0.33998430503744537,-0.05733450389421879,0.10840946554343438,-0.08166980673927529,0.2769884539701292,-0.010955026066594193,0.2493400260779102,-0.2500905892165497
elespanol,-0.37412014629804036,-0.284775209892092,0.23024713766712027,0.10840117274427129,0.10017471243871781,-0.13873236401856798,-0.1201114488815002,-0.10640441439787254,0.1550419828161766,,,,,,,-0.005665329617720916,0.39301684285061156,-0.08302235134024405,0.08815565357486094,-0.07411113836148955,-0.01487298339116546,-0.11297314631416365,0.017486759409540458,0.0672254613952802,0.11748782165774879,0.19312060249877128,-0.2177620174016589,-0.040942320868610896,-0.14394804739917189,0.08421973411303053,0.5881700824909974,-0.6908684605639108,0.3239485431693286,-1.1537571181479147,-0.2104741093789969,-0.05096980171643215,0.5735894840657314,-0.47293149121885014,0.13284284629826756,0.0361370982930673,0.28320846796462296,-0.7641508319726833,-0.06768749020738958,0.4862045755508406
elmundo,-0.5346578006275908,-0.08359470189829968,0.3076342839451375,-0.34474525546683366,-0.2760722542401527,-0.08458250646601961,-0.2634306408733863,0.182446158912222,0.03002127393624856,,,,,,,0.001645800189972825,0.5890939641930597,-0.11282150550954903,0.1857447288016963,-0.08274631206125964,-0.18607603439529652,-0.14003772024634215,-0.1411737141456095,-0.04487911047122943,0.10876642910134289,0.2360600374562435,-0.14325849428619952,0.11633068442167957,-0.05432295102638389,0.06613451971300738,1.3252073454021684,-0.8285102198086183,-1.2577831630706553,0.36388769137252985,1.5883657075448756,0.10926970094572895,0.4366029895814972,-0.08187120151970033,0.016532222898268324,-0.2084080813911805,-0.17934205201674858,0.09065062801239496,-0.1162650562036293,0.007106497587850518
elpais,0.26981636684146837,0.0783690997019727,-0.18077298706276998,0.35210888746019764,-0.4583640200919606,0.09284999088237275,-0.21141698296723566,0.03912041825336412,-0.11963687442935653,0.01667658492884952,0.0388826144513735,-0.042232699478182305,0.6572143169457603,-0.39119938094900053,-0.5058350679339428,-0.019215522737007416,0.0929575743991054,-0.02177811075174984,-0.13850580895661949,-0.11882947921409055,0.06477994450170503,-0.12018369328906292,-0.016900552649364135,0.03351330439543483,0.004714151382606991,0.07528736761950694,-0.1936346293793636,-0.05316438800773679,-0.08336836030726001,0.1196675583169077,0.35454298869620504,-0.35400211310672847,-0.21847085710959144,0.003609481171391782,0.1179309990038151,0.0028906825487027624,0.17561589040277903,0.15294111210620842,-0.271458747063262,0.20480265605213474,0.1766684831871451,0.13723470577687585,-0.08808465240884418,-0.029380615131320516
epe,-0.15571573697140673,0.4578403224483084,0.14392624054219383,-0.1175353944880688,0.1605757178177959,-0.6654363660948325,-0.8583135154585191,0.3237316608184547,-0.2582813993466697,,,,,,,-0.011494980812338903,0.19921126468375788,0.13746049143805456,-0.19590034055066124,-0.050951894275347784,0.01557010962889247,-0.020182315094485537,-0.014440241885553252,0.06158291376974115,-0.01974912833501312,-0.07363574421678014,0.04599627740306941,-0.03453297296927722,-0.03797524183923073,-0.26468182848760796,-0.06308076050921284,-0.015242355192082082,-0.11248598912962071,0.07686921051008064,0.015918330137424677,,,,,,,,,
europapress,-0.19752871400382788,0.10077643273279349,-0.23607247571318446,-0.021842062095972593,0.1258366527185294,0.09398028849183082,0.13220862277374482,-0.037719361576072,0.0791335721736674,,,,,,,0.00955285412398,0.874475460764226,-0.14346006432505468,0.11389941301734659,0.10034803205607878,-0.16346292718914773,-0.00483672046675495,0.034416765604035164,-0.16278431883949485,0.0308351889557457,-0.3189689559582582,0.02772838586786629,-0.3843603454549782,0.007748284308383351,-0.2704699124759822,0.3193631025429178,-0.360079559230397,-0.07370007145909228,-0.2009575085018614,-0.6273806970839123,-0.3302817632739904,-0.11614440987175945,-0.03467283555081475,0.175469553099332,0.44571078611758985,-0.11302401771389273,-0.050823107793826726,0.1404455352908788,0.07756481274675299
lavanguardia,-0.19581013675360076,-0.09015635006939719,-0.19241128258190193,0.04265655488511699,0.06223405810520652,-0.31565341340674624,-0.02637824538454797,0.23990029723189188,-0.13107756702563716,,,,,,,-0.018429914128956334,0.34481017421882065,-0.05295795678527622,-0.025956063117378823,-0.06873611298988724,-0.02964501154362534,-0.016648037099892446,-0.011322810831135014,-0.0006763631358249374,-0.06051102846497612,-0.015599737061043128,-0.12016334334240443,-0.12508843261298,0.010848652617003565,0.06498419177433169,0.5862800242512907,-0.13754069149767917,-0.05057676838817914,-0.3676693197637806,-0.13887127580408162,-0.19061208021994389,0.37184370851213777,-0.48073543069514346,0.5013661441912438,-0.015633897883439732,0.31458888286411174,-0.7278336260707006,-0.089663371297842,-0.5210149252789449
