story,Politics_0,Politics_1,Politics_2,Politics_3,Politics_4,Politics_5,Politics_6,Politics_7,Politics_8,Politics_9,Politics_10,Politics_11,Politics_12,Politics_13,Politics_pca_1d,Politics_pca_2d,Russia_0,Russia_1,Russia_2,Russia_3,Russia_4,Russia_5,Russia_6,Russia_7,Russia_8,Russia_pca_1d,Russia_pca_2d,Public services_0,Public services_1,Public services_2,Public services_3,Public services_4,Public services_5,Public services_pca_1d,Public services_pca_2d,Crime_0,Crime_1,Crime_2,Crime_3,Crime_4,Crime_5,Crime_6,Crime_7,Crime_8,Crime_pca_1d,Crime_pca_2d,Crypto/net_0,Crypto/net_1,Crypto/net_2,Crypto/net_pca_1d,Crypto/net_pca_2d,Inflation_0,Inflation_1,Inflation_2,Inflation_pca_1d,Inflation_pca_2d
20minutos,0.010670075719759,0.6499902094995,-0.1402457382036586,0.0861100725443447,-0.0916757100917577,-0.0334401089090004,-0.0495820169894239,-0.0678936274660988,-0.0142143269728478,0.0743745419136141,0.9167707273572826,1.066138103947832,-0.1512651927062056,0.1354337849929524,-0.07662693530087292,-0.824563040906737,-0.0434155887358375,0.5027952561566162,-0.214592160235752,-0.2537824947188769,-0.0204456204368223,0.0451773788494963,0.3376304573055584,0.3088379773634603,0.1631336565929961,0.9612314038391946,-0.19325266399776161,-0.6611494171606966,0.177534924073454,-0.3056178186098663,-0.033260393883121,0.3304160676112014,-0.6209762803361426,0.5328995810419677,1.1722381161803193,0.1161786607105727,0.094921927346435,-0.1591647969620972,0.1227555355289942,0.5750991684255751,0.2927389442798564,-0.0589478865518246,-0.0287498414257591,-0.0999066634595456,-0.5894373413177368,-0.00012571143237348205,,,,,,,,,,
antena3,-0.0108250246603225,0.2389139375648622,-0.1024355615426687,0.1996797159107837,-0.1687857322361655,-0.080719400067517,-0.2547610372187083,-0.0491430182122216,-0.0271063791751314,0.1741847870174757,0.2124239313968199,-0.2462640155814565,-0.1874884008603243,0.0054639466985976,0.5852522908767995,-0.40322783399660894,,,,,,,,,,,,,,,,,,,,-0.0212282629574902,-0.0634309900650483,-0.2247287839539995,0.00273113237691,-0.1155443685406281,0.0201879968413066,0.1458996730423557,0.0933637253399064,0.099146527411428,-0.5691642677818738,-0.17119633418255903,,,,,,,,,,
cadenaser,-0.0221902102007867,-0.0018065009633373,-0.0016661571207106,-0.178344329942141,-0.0412702511309872,0.0432907214598277,-0.1267070499389203,-0.0467005896782922,0.0324425038920652,0.0333807184417989,0.0372377746912831,-0.0712430347364532,-0.0083107757015945,0.0614353242023549,-0.13986438421461483,-0.6649473377151676,0.2016581293366501,0.6605193727533085,0.285893527034174,-0.6441256384912728,-0.0802200795628838,-0.021020558460523,0.1346557637222853,1.3877525814494427,-0.7594231433902137,3.7210430648988675,-3.4353459620645115,0.2655960766069074,0.0079462960811203,-0.0135092415989478,-0.0154764714337988,-0.1059213214493077,0.0351167188798137,0.31545966158707556,-0.3840709304318524,0.18471913805257,0.1612162234108278,-0.3181967051933794,0.0207000598409066,-0.038189842109184,-0.1000739975827519,0.1517245407769369,0.0032854237246876,-0.2120163754975065,-0.5366597702537863,-0.8274440274821079,,,,,,,,,,
catalunyapress,-0.0456203383472086,-0.0016048229724938,-0.0182875012158392,0.0546150253981239,0.0514667913423511,-0.1344457123062225,-0.1048545689674361,0.0840915597587778,-0.0711816998746432,0.0754594376395517,-0.0438886761206917,0.054462605290535,-0.2298255779432921,0.0086555449938293,-0.05571790686869352,-0.3534370412670306,,,,,,,,,,,,,,,,,,,,-0.0699930978343401,-0.4790841503478361,-0.1368898266263289,0.7059411221180334,0.1836023632282837,-0.1523048536215285,-0.272175920681014,-0.0444319182802933,0.2435166016094384,-0.03200881094476298,-0.6420844017993363,,,,,,,,,,
eldiario,-0.0075269040907342,-0.0098532793489593,0.0157978038840994,-0.2824616375238861,-0.0327903177363438,0.0603204181616658,-0.0310239487354687,-0.0197763664330849,0.001104765428075,-0.0390372454900153,-0.0205476718292362,0.0205975041198777,0.0027339305647823,-0.0228803073030354,-0.493454108363963,-0.6692637389602493,-0.0273435201092254,0.3399843050374453,-0.0573345038942187,0.1084094655434343,-0.0816698067392752,0.2769884539701292,-0.0109550260665941,0.2493400260779102,-0.2500905892165497,0.5679530057918135,-1.1474162254411355,0.1434176259013714,0.0081066822442529,-0.0054738011571575,-0.0211400218199294,0.0187925488529712,-0.0527902332870611,0.34601925796555577,-0.016908678198513594,0.6141829616273223,0.0744306087678283,-0.1286729306636352,0.0268852430559458,-0.2040199832732884,-0.0498900986277316,0.0778429144162276,0.0474379934921938,0.1407572175826915,-0.6836146627700477,-0.6630590165154642,,,,,,-0.3678212800286553,-0.24000080724585,0.050695108397908,-0.5659814656015194,-0.41022684899813905
elespanol,-0.0056653296177209,0.3930168428506115,-0.083022351340244,0.0881556535748609,-0.0741111383614895,-0.0148729833911654,-0.1129731463141636,0.0174867594095404,0.0672254613952802,0.1174878216577487,0.1931206024987712,-0.2177620174016589,-0.0409423208686108,-0.1439480473991718,0.4325707466936525,-0.123661794959526,-0.0509698017164321,0.5735894840657314,-0.4729314912188501,0.1328428462982675,0.0361370982930673,0.2832084679646229,-0.7641508319726833,-0.0676874902073895,0.4862045755508406,-1.1003314433324483,0.5749654172756283,0.0842197341130305,0.5881700824909974,-0.6908684605639108,0.3239485431693286,-1.1537571181479147,-0.2104741093789969,0.8269415891304782,-2.4990285295850323,-0.3741201462980403,-0.284775209892092,0.2302471376671202,0.1084011727442712,0.1001747124387178,-0.1387323640185679,-0.1201114488815002,-0.1064044143978725,0.1550419828161766,0.44373017589106806,-0.2793417057277225,,,,,,,,,,
elmundo,0.0016458001899728,0.5890939641930597,-0.112821505509549,0.1857447288016963,-0.0827463120612596,-0.1860760343952965,-0.1400377202463421,-0.1411737141456095,-0.0448791104712294,0.1087664291013428,0.2360600374562435,-0.1432584942861995,0.1163306844216795,-0.0543229510263838,0.7614259409915075,-0.3246808054235342,0.1092697009457289,0.4366029895814972,-0.0818712015197003,0.0165322228982683,-0.2084080813911805,-0.1793420520167485,0.0906506280123949,-0.1162650562036293,0.0071064975878505,0.7874350605440374,0.27959891145691906,0.0661345197130073,1.3252073454021684,-0.8285102198086183,-1.2577831630706553,0.3638876913725298,1.5883657075448756,-5.58306337053353,-0.2585708133805049,-0.5346578006275908,-0.0835947018982996,0.3076342839451375,-0.3447452554668336,-0.2760722542401527,-0.0845825064660196,-0.2634306408733863,0.182446158912222,0.0300212739362485,0.12523176272279413,0.5629167456262034,,,,,,,,,,
elpais,-0.0192155227370074,0.0929575743991054,-0.0217781107517498,-0.1385058089566194,-0.1188294792140905,0.064779944501705,-0.1201836932890629,-0.0169005526493641,0.0335133043954348,0.0047141513826069,0.0752873676195069,-0.1936346293793636,-0.0531643880077367,-0.08336836030726,-0.13601730058141553,-0.46522676819109965,0.0028906825487027,0.175615890402779,0.1529411121062084,-0.271458747063262,0.2048026560521347,0.1766684831871451,0.1372347057768758,-0.0880846524088441,-0.0293806151313205,0.027133884301443353,0.33868414579096023,0.1196675583169077,0.354542988696205,-0.3540021131067284,-0.2184708571095914,0.0036094811713917,0.1179309990038151,-0.7066740314258363,-0.3962073669908371,0.2698163668414683,0.0783690997019727,-0.1807729870627699,0.3521088874601976,-0.4583640200919606,0.0928499908823727,-0.2114169829672356,0.0391204182533641,-0.1196368744293565,-0.21070391237476216,-0.5688221662576429,0.0166765849288495,0.0388826144513735,-0.0422326994781823,0.005440753977262662,-0.4204120781580904,0.6572143169457603,-0.3911993809490005,-0.5058350679339428,0.21922035655472813,-1.0399290265688936
epe,-0.0114949808123389,0.1992112646837578,0.1374604914380545,-0.1959003405506612,-0.0509518942753477,0.0155701096288924,-0.0201823150944855,-0.0144402418855532,0.0615829137697411,-0.0197491283350131,-0.0736357442167801,0.0459962774030694,-0.0345329729692772,-0.0379752418392307,-0.2381503600125521,-0.5614455127511382,,,,,,,,,,,,-0.2646818284876079,-0.0630807605092128,-0.015242355192082,-0.1124859891296207,0.0768692105100806,0.0159183301374246,0.18476016401403664,0.5468632915331069,-0.1557157369714067,0.4578403224483084,0.1439262405421938,-0.1175353944880688,0.1605757178177959,-0.6654363660948325,-0.8583135154585191,0.3237316608184547,-0.2582813993466697,-0.0661665079009294,0.4153349617372404,,,,,,,,,,
europapress,0.00955285412398,0.874475460764226,-0.1434600643250546,0.1138994130173465,0.1003480320560787,-0.1634629271891477,-0.0048367204667549,0.0344167656040351,-0.1627843188394948,0.0308351889557457,-0.3189689559582582,0.0277283858678662,-0.3843603454549782,0.0077482843083833,0.543490129102758,0.19608742820721112,-0.3302817632739904,-0.1161444098717594,-0.0346728355508147,0.175469553099332,0.4457107861175898,-0.1130240177138927,-0.0508231077938267,0.1404455352908788,0.0775648127467529,-0.32343071355104536,1.0878247184552694,-0.2704699124759822,0.3193631025429178,-0.360079559230397,-0.0737000714590922,-0.2009575085018614,-0.6273806970839123,0.6410085669821152,-0.21622355665721527,-0.1975287140038278,0.1007764327327934,-0.2360724757131844,-0.0218420620959725,0.1258366527185294,0.0939802884918308,0.1322086227737448,-0.037719361576072,0.0791335721736674,-0.4334501427204256,0.07538882358304569,,,,,,,,,,
lavanguardia,-0.0184299141289563,0.3448101742188206,-0.0529579567852762,-0.0259560631173788,-0.0687361129898872,-0.0296450115436253,-0.0166480370998924,-0.011322810831135,-0.0006763631358249,-0.0605110284649761,-0.0155997370610431,-0.1201633433424044,-0.12508843261298,0.0108486526170035,-0.07134670753726549,-0.09677880763129339,-0.1906120802199438,0.3718437085121377,-0.4807354306951434,0.5013661441912438,-0.0156338978834397,0.3145888828641117,-0.7278336260707006,-0.089663371297842,-0.5210149252789449,-0.2966458349504074,-0.8064344708427642,0.0649841917743316,0.5862800242512907,-0.1375406914976791,-0.0505767683881791,-0.3676693197637806,-0.1388712758040816,-0.002091272073133943,-0.5444955720616496,-0.1958101367536007,-0.0901563500693971,-0.1924112825819019,0.0426565548851169,0.0622340581052065,-0.3156534134067462,-0.0263782453845479,0.2399002972318918,-0.1310775670256371,-0.3549558352995936,-0.3290464132752802,,,,,,,,,,
lavozdegalicia,0.035868051923941,1.0028707037054174,-0.1637356944432802,0.0371386762141696,0.0852110297424967,-0.1078893147712573,0.3609812463691924,0.1405913907386041,-0.2739329820745786,-0.1500703666622481,-0.4469225917673751,0.6244100016413526,-0.2391409294363215,-0.0609964247482374,-0.33660480352215943,0.3372227020557197,,,,,,,,,,,,,,,,,,,,-0.4762230412638469,-0.2671665799687984,0.0781089993081575,-0.0700710769112847,-0.0222919916256109,0.164464303497193,0.1399898690801568,-0.3728021093569117,0.3409218414483369,0.07721734263841727,-0.21525715809196694,,,,,,,,,,
levante-emv,0.0128880389013335,0.0711634450633159,0.0027401517125477,-0.2684228907797974,-0.1070808478689748,0.0452737650282797,-0.0260812163719604,-0.0026461594118367,-0.0604747046263829,-0.0612999676515407,0.1773289556321909,-0.071328267982899,0.0946183421944539,0.0767184794010627,-0.6263771933895059,-0.4322672540153054,,,,,,,,,,,,,,,,,,,,-0.0764562812653566,0.0896755389094237,-0.1592604851927129,-0.1821846635430495,0.2950480398701623,-0.4917855247858348,0.1757561455441899,-0.1958893750108724,0.1044461997357497,-0.342636901895287,-0.8559736125730499,,,,,,,,,,
abc,0.0173491693850338,0.6283927970850653,-0.1661477532722308,0.2369647799134211,-0.0875787624889611,-0.0708176950135826,-0.2290450331764751,-0.0342724912049454,-0.0120773857071049,0.1505647386109995,0.5912944619015805,-0.4570434405056747,0.1028397662896281,-0.1421928581247836,0.9066807393143385,0.24165680074220144,0.0756487769913017,0.4851965455216298,-0.0909048938286704,-0.1400969697431798,0.0703136029823883,-0.0289169818649435,-0.1469485170822037,-0.0540404653456984,-0.4352898940123337,1.0341727117368047,-0.11808347277085139,,,,,,,,,-0.4122063194857683,-0.1616032255029704,-0.0150136672012198,0.057421299634806,-0.4156734004229576,0.4274122783308285,-0.0588585748122783,-0.4561919354065112,-0.119696671485066,0.11323936620218034,-0.7041086659070063,,,,,,,,,,
elnacional,-0.0303436421442511,0.1964444540890274,-0.0127968436260912,-0.0051846027524351,-0.0602910616546718,-0.0582553645876088,0.3955039553285456,0.642229369759685,-0.2760922697898714,-0.7223231988156236,0.3280800853178975,-0.1716724101817362,-0.0879772347986887,0.0857541804353745,-2.518204501546098,2.493339552936216,,,,,,,,,,,,,,,,,,,,0.1008844557227118,0.3983181119873112,0.1217257190696551,-0.3729063307549366,0.0180692649869393,-0.1119941331470577,-0.4331499279168391,-0.4174351791385972,-0.4318251657111913,-0.28378801580538304,-1.038330715551548,,,,,,,,,,
