story,Politics_0,Politics_1,Politics_2,Politics_3,Politics_4,Politics_5,Politics_6,Politics_7,Politics_8,Politics_9,Politics_10,Politics_11,Politics_12,Politics_13,Politics_14,Politics_15,Politics_16,Politics_17,Politics_18,Politics_19,Politics_20,Politics_21,Politics_22,Politics_23,Politics_24,Politics_25,Politics_26,Politics_27,Politics_28,Politics_29,Politics_30,Politics_31,Politics_32,Politics_pca_1d,Politics_pca_2d,Russia_0,Russia_1,Russia_2,Russia_3,Russia_4,Russia_5,Russia_6,Russia_7,Russia_8,Russia_9,Russia_10,Russia_11,Russia_12,Russia_13,Russia_14,Russia_15,Russia_16,Russia_17,Russia_18,Russia_pca_1d,Russia_pca_2d,Public services_0,Public services_1,Public services_pca_1d,Public services_pca_2d,Crime_0,Crime_pca_1d,Crypto/net_0,Crypto/net_1,Crypto/net_2,Crypto/net_3,Crypto/net_4,Crypto/net_5,Crypto/net_6,Crypto/net_7,Crypto/net_8,Crypto/net_9,Crypto/net_10,Crypto/net_11,Crypto/net_12,Crypto/net_13,Crypto/net_pca_1d,Crypto/net_pca_2d,Inflation_0,Inflation_pca_1d
elespanol,-8.270755817328321e-05,-0.0020187810331071,-0.0010592174793711,0.0021093186968864,-0.0013902867033882,-0.000616268266954,-0.0007339388148843,0.0005919508237861,0.000603572127582,-0.0003037786587066,0.0007501038136094,-0.0010271532819438,0.0018203947714039,-0.0009681858747752,0.0008424896180633,-0.0017089616938557,0.0020585380208025,-0.0001892032656978,0.0004565230720652,-0.0009735234329871,0.0003124358186236,-0.0010593481344634,0.0009245479301343,-0.0011745284562929,-0.0007791778202251,-0.0008093853354065,0.0015130178375434,0.0008889160752363,0.0011924436804841,-0.0012184927164241,-0.0022278338689088,-0.0001827100249937,-0.0009312249508933,-0.14655984473203493,-0.24647213175899885,0.0047459162703788,-0.0002493105714746,-0.009118096013285,-0.0037749718514985,0.0019161350786872,-0.0040601143265319,-0.0039924753345628,0.0003909414963527,0.0010765958690409,0.0036635627610447,0.0028014911516324,-0.0022715844989557,-0.002218991903993,-0.002171337166209,-0.0011568396364354,-0.0015276777091171,0.0038807953307627,-3.546620567648415e-05,0.0010983866950684,1.2317951295840324,0.40827561380186933,0.0010697223672294,9.68529750741058e-06,-0.546399478859254,0.09049197330257075,-0.0054227349667113,0.6824641881614453,,,,,,,,,,,,,,,,,-0.0018319476818694,0.32981673238491305
elnacional,0.0015595453237294,-0.0030872181805343,-0.0026840316384242,0.000765730170573,-0.001107230318051,-0.0007306619400558,-0.0009748038471348,0.0014546717122031,-0.0014355143060613,-0.0014111883308051,0.0022089906264103,-0.000672408118456,0.0007061746300567,-0.0011352396742869,0.0009286836929604,-0.0035296282197062,0.0014637646607673,-0.0005692300370638,0.000424764028631,-0.000942782091786,0.0018879356398211,-0.0015314997981893,0.0008938974556192,-0.0015526581156008,-0.0004558579109165,-0.0011207381447275,0.0007215569899973,4.9682615079116115e-05,0.0010143992276341,-0.0011009652617865,-0.0016627252487013,0.0007643893024862,-0.0013199787924623,2.343589027616948,0.19868427644877393,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0056487085083442,0.6222686212082437,,,,,,,,,,,,,,,,,,
20minutos,-0.0007082699885205,-0.0030340701938474,-0.0020329218097836,0.0011664434204923,-0.0017751895890711,0.0003497625514251,-0.0007043966560517,0.0005785582084959,-0.0002582282147941,-0.0002099372544519,0.0007073848030945,-0.0016720151944651,0.0039582779941732,-0.0010874532356483,0.0013581827734753,-0.0038689276110643,0.0015228507124025,0.0006706351919512,0.0012601369812536,-0.0011945108142717,0.0017396502268379,-0.0001726650335527,-0.0004260535332083,-0.0013060668272485,-7.098608874508841e-05,-0.0008719218264613,0.0019001782272242,-0.000236582684604,0.0030164813803584,-0.0011637297461414,-0.0033042916000167,-0.0002291957065444,-0.0008279270763411,-0.16739849151510106,-1.9988601260432621,0.0030774743017214,0.0018810270409753,-0.0121069534470441,-0.0026987286537183,0.0061011693680426,-0.0056673415601306,0.0063787800952558,-0.0067687245996983,-0.0049481384384137,0.0044742016086736,-0.0004916336304586,-0.0020262717003345,0.0001939146930731,0.0022462774692219,-0.0030389051757502,-0.00132954759381,-0.0010125006368999,-0.0054621182282327,-0.0009627709859058,0.5326764481805368,0.013849062688350759,0.0010177048328466,-0.0006707139738143,-0.7083491242902682,-0.05266577143474988,-0.0113862332020344,-0.9061118668302381,,,,,,,,,,,,,,,,,,
catalunyapress,0.0013341482768415,-0.0012647159903065,-0.0035509170871073,0.0016750842955549,-0.0039102654710141,-0.0006424469570515,-0.0006912735099734,0.0015198495225203,-0.0006576365830395,-0.0004853031971588,-0.0004603897542457,-0.0028305596245645,0.0006533413232759,-0.001762376458323,0.0029723213807268,-0.0010295973811458,0.0022451854306639,3.5803760082036477e-06,0.0003800756186361,-0.0017174203694819,0.0003126202966723,-0.0003668169197472,0.000734224416401,-0.0002757964314156,-0.000492194820334,-0.0018273291862478,0.0006167072618967,3.237514093721452e-05,0.0018029924795798,-0.0007064235578264,-0.0027767971129161,0.0018046573841533,-0.0005121384591035,1.5981189818474624,-0.1864268506887054,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0111093092241289,-0.8323439569568,,,,,,,,,,,,,,,,,,
eldiario,0.0046333271760512,-0.001963457415293,-0.0017070011063722,0.0018468872103531,-0.00206056700417,-0.0002686868298823,-0.0013504839204967,0.0013390430043397,-0.001512048903005,-0.0012037423761731,0.0010747954797658,-0.0018127450654184,0.0007795625270214,-0.0009281641851408,0.0011816173295589,-0.0010910817409971,0.0012522664023764,0.0001040560034669,0.0010445690039265,-0.0011320964897646,0.0008455596902801,-0.0007767851534907,0.001418399341511,-0.0003411001245922,-0.0006864179326523,-0.0009310917041439,0.001055542704133,0.0002108283914981,0.0006595560197697,-0.0006774280725768,-0.0003727426766014,0.0008554573581293,-0.0009861903232344,1.9729728290227468,0.9085049743114036,0.0024481510148389,-0.0007651021787592,-0.0060932223081489,-0.000803944697598,0.0032092808532157,-0.0005305702322394,0.0001857457937235,-0.0033656044346441,-0.0005806410205913,0.0014652142496491,-0.0002879826428233,-0.001924721797509,0.0004544378112701,-0.0016761052784765,0.0006946822064623,-0.0048971754467451,-6.698261092679889e-05,-0.0011598416673178,-0.000426922692256,1.431107957679613,0.6367548885578612,0.0038107679487145,0.005463209080584,1.1714623863244524,0.8181212760373813,-0.0023829537870846,1.4922109850610539,0.0025103051130195,-0.0022536518583119,0.0050774074964993,0.0005456032072714,0.0027313310003183,-0.0026337479589975,0.000188395550058,0.0063042910730367,0.0053732716067384,0.0022332647534212,0.0003115870086341,0.0004424162246211,0.0023464395930394,-0.0030600286890628,-0.9758492175960745,-0.7661329993471699,-0.0020698835118048,0.28969812143003665
elperiodico,0.0030169622135121,-0.0017648620208479,-0.0004091470602958,0.0012360781940218,-0.0014542129217851,-0.000529841797802,-0.0012654599963967,0.0006110604781799,-0.0008874208650338,-0.0006619657407628,0.0007270764216126,-0.0024697862127506,0.0011512436842844,-0.0011644203982808,0.0021359699215291,-0.0017386665803911,0.0006986805969123,1.9287117299038125e-06,0.0010137066949829,-0.000961295667282,0.0019223121958197,-0.0007815082036932,0.0008606954039059,-0.0003074663524927,-0.0009834953683253,-0.0017074286563202,0.0013174129188257,-0.0005099865084695,0.0005850118576899,-0.000693005909786,-0.0014147445446014,0.0011840862030651,-0.0010474335481052,1.1125835661099401,0.11070593337895267,0.0068413237291608,-0.0037168162736605,-0.0065037604651868,0.0009656582376248,0.0054394995813764,-0.0036433135927986,-0.0059931315953346,-0.0026785190897648,-0.0038250203996379,0.0013003941046251,-0.0003289198881241,-0.0017049104416197,-0.003156312224296,-0.0009999144659286,0.0031749040427495,-0.0054526063240031,0.0061425091326538,-0.0071442796281725,0.00620098737968,0.5501948264603539,1.6526505823856987,-0.0011613789089078,-0.0013229040398776,-1.2481868409140164,0.19471424081235658,-0.0074890979329304,0.1320197007943082,,,,,,,,,,,,,,,,,,
europapress,0.0007270020615073,-0.0034289117925909,-0.0014855439880128,0.0029611961581593,-0.0006508439371131,-0.0008049214078709,-0.0003638151320752,0.0006724067535718,1.5156023958788624e-05,-0.0006214232875429,0.0011144921678301,-0.0007297155655071,0.0017005478804686,-0.0010885058255512,0.0010692692452711,-0.0017090621064334,0.0007548707731647,-9.236178722669118e-05,0.0008090214360792,-0.0007497141639736,0.0007489730705103,-0.0010103159329652,0.0003944551164398,-0.0008053552947731,-0.0006763764497836,-0.0001770279271375,0.0011365718153163,4.5721504454133825e-05,0.0017204925046079,-0.0007682979036158,-0.0034136969230875,-9.888055058978816e-05,-0.0009985811039637,-0.5938088858621472,-0.758494228609393,0.0074148917202777,-0.0059268802676654,0.0060043740363465,-0.0035766370922234,0.0032354453728851,-0.0019586621469734,0.0042095957666321,0.0003755901731119,-0.0022815244091061,0.0025163003252527,-0.0030036966210778,-0.0023899440660818,0.0003593751836608,-0.003158159630503,0.0037534120243718,-0.0022980311933116,0.0033864679332193,-0.0011945755638454,0.0021602493011636,0.15843840467410714,0.09970705429786707,0.0011105741901677,-0.0020621995706069,-1.003561887585131,-0.3814286012787542,-0.0132465222878684,-1.4016617237269673,,,,,,,,,,,,,,,,,-0.0019514958406832,0.3096595913812871
infobae,0.0005589786481021,0.0007716670160262,-0.0014981482120143,0.0006730303320567,-0.001004759003595,-0.0001555486097662,-0.0007307587341301,0.0005713417397767,-0.0007655457481976,-0.0005663475438877,0.0006072650160871,-0.0015682872132781,0.0006073380279415,-0.0006255301168598,0.0006920613408742,-0.000800665893422,0.0007734736711298,4.251873837305301e-06,0.0005369500233104,-0.0005768872331736,-0.0003735240979848,-0.0006220723016758,0.0009082154517692,-0.0003099755288323,-0.0014912537954746,-0.0007144187309418,0.0007980428732749,4.957697810126578e-05,0.0015682481849393,-0.0006422633835269,-0.0014158719697632,0.0006741159923932,-0.0007228466371808,-1.4040175327020277,-0.14785831689346773,-0.0018791321332195,0.0045548473002522,-0.0251820631694941,0.0002974653564172,0.0017227263851826,-0.0015463207150971,-0.0072061269230886,-0.0023878056678181,0.0055735044723359,0.0018895936196588,0.0048160891030391,-0.0011577667498527,-0.0075283991238499,0.0001989765765362,-0.0083792130317582,-0.0017526429007189,0.0025413516222215,-0.002238251102013,0.0001828576124295,2.90379385923525,1.1339188736603123,,,,,-0.0023694752904976,1.4958014308179703,,,,,,,,,,,,,,,,,,
rtve,-0.0009698105150782,-0.0017688727413367,-0.0013534374537668,0.0034270955415094,-0.0018115019043483,-0.0003104444983975,0.0002004774285908,0.0005333682446445,0.0018115088960323,0.0012527009369355,0.0007835143196958,-0.0014297157530156,0.0013933080096581,-0.0013608998552276,0.0014427167829713,-0.0014637784448295,0.0005503058817349,4.147871983878386e-06,0.000479879233647,-0.0013555110333926,0.0003619234861836,-0.0003732506948479,0.00063761129051,-0.0002662551440748,-0.0004202061603317,0.0024888672296637,0.0006505319620949,0.000558354713342,0.001409791185366,-0.0005875746131314,-0.000560987038546,-0.0001822238480949,-0.0007421425204475,-2.5156125337344117,-1.479573035911248,0.0065896860479989,-0.0162257854519709,0.0021128904143396,-0.0085392873580522,0.0034737662268602,0.0009451248405801,0.0012003119810693,0.0011951875444416,-0.0023589213740139,0.0043083258919928,-0.0033514844312267,-0.0042935681433367,0.001608995012128,-0.0031749369398138,0.0005877672209416,-0.0094296753382339,0.0032497910431967,0.0020256848925751,0.0026398706476876,0.3341416078355223,-0.019023178095961244,,,,,-0.0021828946272019,1.5455033947223757,,,,,,,,,,,,,,,,,,
abc,-0.0010630178732537,-0.0018231324548931,0.0001331007288032,0.0007000992132023,0.0020424072790858,-0.0024262552496655,-0.0010306551709153,0.0015426371548263,-0.0019282853983476,0.0004851629436895,0.0006502124197202,-0.001135272514871,0.002418395206167,0.000246366210055,0.0012361215166768,-0.001792978516447,0.0009504714432012,0.0003173161005391,0.0009467796301993,-0.0011907892344402,0.0012761478222572,0.0001160814973033,0.0005753380450952,-0.0008994283447992,-0.0009559800516842,-0.0007321038995911,0.0011208315182836,0.0003628844170816,0.0020558393039297,-0.0003269803491952,-0.0036958256410596,0.001207560494808,-0.000979042169045,-1.6380811198894911,1.0353913909592658,0.0027926771450699,-0.0013770123495414,-0.0014547535726551,-0.0074603157821854,0.0012951230455729,0.0002481152518082,0.0026992173797837,0.001029330197645,-9.657350148925548e-05,-9.129780629618668e-05,-0.0010853222877495,-0.0014509336009986,0.0007857576722119,-0.0008322369230563,-0.0002264176774132,-0.0030596722553729,0.0014767192364414,-0.0025003543705812,0.0016936606323649,1.1694211586686651,-0.24371702445334215,,,,,-0.0054824071531212,0.6665685170739143,,,,,,,,,,,,,,,,,,
