story,Crime_0,Crypto/net_0,Crypto/net_1,Crypto/net_2,Crypto/net_3,Crypto/net_4,Crypto/net_5,Crypto/net_6,Crypto/net_7,Crypto/net_8,Crypto/net_9,Crypto/net_10,Crypto/net_11,Crypto/net_12,Crypto/net_13,Inflation_0,Politics_0,Politics_1,Politics_2,Politics_3,Politics_4,Politics_5,Politics_6,Politics_7,Politics_8,Politics_9,Politics_10,Politics_11,Politics_12,Politics_13,Politics_14,Politics_15,Politics_16,Politics_17,Politics_18,Politics_19,Politics_20,Politics_21,Politics_22,Politics_23,Politics_24,Politics_25,Politics_26,Politics_27,Politics_28,Politics_29,Politics_30,Politics_31,Politics_32,Public services_0,Public services_1,Russia_0,Russia_1,Russia_2,Russia_3,Russia_4,Russia_5,Russia_6,Russia_7,Russia_8,Russia_9,Russia_10,Russia_11,Russia_12,Russia_13,Russia_14,Russia_15,Russia_16,Russia_17,Russia_18
000b2b9c728a45b39d4fe302df79f591206d2247,-6.512149463717135e-05,,,,,,,,,,,,,,,,-0.00047889510626575316,0.0004407991921726029,0.0008572053021327353,-0.0010494029261151686,0.0019765127847969728,0.00013354826778524034,0.001557247187818165,-0.0010763228137523183,0.0019550141982930883,0.0016277998096217161,-0.0016396982346369802,0.001485341620056398,-0.0015906372194392391,0.0023503478115334334,-0.002712500418512613,0.003642391071895578,-0.003287623269493542,0.00016213192695657165,-0.0025230931504847433,0.003880105877022425,-0.0036304658620651374,0.0027424179635487187,-0.006524392044507291,0.0015260775605019576,0.003970176437582117,0.009133950175557036,-0.010268057992024654,-0.0005255933517928203,-0.006115308189390792,0.01620467277209499,0.0011622940721656878,-0.0045874879615693375,0.00646686548682214,-7.751626565067224e-05,5.030101847762718e-06,-0.0008931811670810889,0.0011782524271561057,-0.0012521496938644437,0.0009992410440284967,-0.001030574364555049,0.0004485892194428092,-0.0012535974192718533,0.0009842593065233789,0.0015884348965789488,-0.0016963796416601096,0.0019148797014234829,0.0011433291484726665,-0.0005113289953288505,0.002103665502034277,-0.0018456090577995013,0.0017287317646277512,-0.001298434638557822,0.0011269154831694862,-0.0032092901764210506
diariosur,-0.010580423521290043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elespanol,-0.005422734966711388,,,,,,,,,,,,,,,-0.0018319476818694502,-8.270755817328321e-05,-0.0020187810331071775,-0.001059217479371155,0.002109318696886464,-0.0013902867033882549,-0.000616268266954087,-0.0007339388148843023,0.0005919508237861928,0.0006035721275820111,-0.0003037786587066632,0.0007501038136094595,-0.0010271532819438045,0.001820394771403975,-0.000968185874775207,0.0008424896180633523,-0.0017089616938557942,0.002058538020802532,-0.00018920326569786972,0.00045652307206527076,-0.0009735234329871917,0.0003124358186236964,-0.0010593481344634906,0.0009245479301343423,-0.0011745284562929416,-0.0007791778202251715,-0.0008093853354065456,0.0015130178375434705,0.0008889160752363478,0.0011924436804841964,-0.0012184927164241646,-0.002227833868908888,-0.00018271002499372496,-0.0009312249508933446,0.0010697223672294642,9.68529750741058e-06,0.004745916270378847,-0.00024931057147466185,-0.009118096013285018,-0.003774971851498568,0.0019161350786872436,-0.004060114326531927,-0.003992475334562845,0.00039094149635276326,0.001076595869040943,0.003663562761044792,0.0028014911516324043,-0.0022715844989557483,-0.002218991903993049,-0.0021713371662090974,-0.0011568396364354597,-0.0015276777091171728,0.003880795330762715,-3.546620567648415e-05,0.0010983866950684262
elnacional,-0.0056487085083442926,,,,,,,,,,,,,,,,0.0015595453237294051,-0.0030872181805343384,-0.0026840316384242335,0.0007657301705730863,-0.0011072303180510445,-0.0007306619400558115,-0.0009748038471348863,0.001454671712203183,-0.0014355143060613418,-0.001411188330805141,0.0022089906264103065,-0.0006724081184560048,0.0007061746300567736,-0.0011352396742869628,0.0009286836929604386,-0.0035296282197062583,0.001463764660767369,-0.000569230037063865,0.00042476402863108643,-0.0009427820917860992,0.001887935639821172,-0.001531499798189354,0.0008938974556192501,-0.0015526581156008526,-0.00045585791091651414,-0.0011207381447275108,0.0007215569899973817,4.9682615079116115e-05,0.0010143992276341798,-0.0011009652617865063,-0.0016627252487013003,0.000764389302486292,-0.0013199787924623972,,,,,,,,,,,,,,,,,,,,,
telecinco,-0.013038948536010952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ultimahora,-0.009302262410383899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003c8dd146a994d2a322285f2ced831235162181,-0.00028025260854736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20minutos,-0.011386233202034468,,,,,,,,,,,,,,,,-0.0007082699885205606,-0.0030340701938474392,-0.0020329218097836156,0.0011664434204923634,-0.0017751895890711464,0.00034976255142515536,-0.0007043966560517775,0.0005785582084959774,-0.0002582282147941379,-0.00020993725445190735,0.0007073848030945456,-0.0016720151944651547,0.0039582779941732885,-0.0010874532356483586,0.0013581827734753995,-0.003868927611064333,0.001522850712402538,0.0006706351919512113,0.0012601369812536463,-0.0011945108142717344,0.0017396502268379544,-0.00017266503355276204,-0.00042605353320838545,-0.001306066827248533,-7.098608874508841e-05,-0.0008719218264613934,0.001900178227224272,-0.00023658268460402727,0.0030164813803584293,-0.0011637297461414156,-0.003304291600016748,-0.00022919570654443642,-0.000827927076341173,0.0010177048328466887,-0.0006707139738143693,0.003077474301721464,0.0018810270409753138,-0.012106953447044183,-0.0026987286537183686,0.0061011693680426485,-0.005667341560130681,0.006378780095255818,-0.006768724599698378,-0.004948138438413796,0.004474201608673609,-0.0004916336304586766,-0.002026271700334578,0.00019391469307311268,0.00224627746922193,-0.0030389051757502977,-0.0013295475938100154,-0.001012500636899935,-0.00546211822823274,-0.0009627709859058031
catalunyapress,-0.01110930922412895,,,,,,,,,,,,,,,,0.0013341482768415868,-0.0012647159903065941,-0.0035509170871073437,0.001675084295554951,-0.003910265471014111,-0.0006424469570515458,-0.0006912735099734923,0.0015198495225203388,-0.0006576365830395584,-0.0004853031971588724,-0.00046038975424570687,-0.002830559624564599,0.0006533413232759637,-0.0017623764583230706,0.0029723213807268146,-0.0010295973811458655,0.0022451854306639067,3.5803760082036477e-06,0.0003800756186361637,-0.00171742036948192,0.00031262029667237395,-0.0003668169197472695,0.0007342244164010633,-0.0002757964314156106,-0.000492194820334026,-0.0018273291862478157,0.0006167072618967042,3.237514093721452e-05,0.0018029924795798509,-0.0007064235578264976,-0.002776797112916171,0.0018046573841533423,-0.000512138459103563,,,,,,,,,,,,,,,,,,,,,
eldiario,-0.0023829537870846407,0.0025103051130195217,-0.0022536518583119794,0.005077407496499334,0.0005456032072714556,0.0027313310003183877,-0.002633747958997533,0.00018839555005807987,0.006304291073036785,0.00537327160673844,0.002233264753421257,0.0003115870086341666,0.00044241622462119464,0.0023464395930394965,-0.003060028689062806,-0.002069883511804878,0.004633327176051237,-0.0019634574152930144,-0.001707001106372211,0.0018468872103531062,-0.0020605670041700464,-0.00026868682988234803,-0.001350483920496733,0.001339043004339711,-0.001512048903005019,-0.0012037423761731099,0.0010747954797658945,-0.001812745065418404,0.0007795625270214306,-0.0009281641851408996,0.0011816173295589312,-0.0010910817409971563,0.001252266402376493,0.00010405600346690075,0.001044569003926511,-0.001132096489764629,0.0008455596902801116,-0.0007767851534907209,0.0014183993415110866,-0.00034110012459229546,-0.0006864179326523572,-0.0009310917041439586,0.001055542704133002,0.00021082839149813578,0.0006595560197697409,-0.0006774280725768179,-0.00037274267660141304,0.0008554573581293322,-0.000986190323234496,0.003810767948714519,0.005463209080584062,0.0024481510148389625,-0.0007651021787592194,-0.00609322230814896,-0.0008039446975980635,0.003209280853215757,-0.0005305702322394371,0.00018574579372351852,-0.003365604434644169,-0.0005806410205913826,0.0014652142496491306,-0.0002879826428233631,-0.001924721797509079,0.0004544378112701676,-0.0016761052784765862,0.0006946822064623943,-0.004897175446745193,-6.698261092679889e-05,-0.0011598416673178902,-0.00042692269225601265
