story,Crime_0,Crypto/net_0,Crypto/net_1,Crypto/net_2,Crypto/net_3,Crypto/net_4,Crypto/net_5,Crypto/net_6,Crypto/net_7,Crypto/net_8,Crypto/net_9,Crypto/net_10,Crypto/net_11,Crypto/net_12,Crypto/net_13,Crypto/net_14,Inflation_0,Politics_0,Politics_1,Politics_2,Politics_3,Politics_4,Politics_5,Politics_6,Politics_7,Politics_8,Politics_9,Politics_10,Politics_11,Politics_12,Politics_13,Politics_14,Politics_15,Politics_16,Politics_17,Politics_18,Politics_19,Politics_20,Politics_21,Politics_22,Politics_23,Politics_24,Politics_25,Politics_26,Politics_27,Politics_28,Politics_29,Politics_30,Politics_31,Politics_32,Politics_33,Politics_34,Politics_35,Politics_36,Politics_37,Politics_38,Politics_39,Public services_0,Public services_1,Russia_0,Russia_1,Russia_2,Russia_3,Russia_4,Russia_5,Russia_6,Russia_7,Russia_8,Russia_9,Russia_10,Russia_11,Russia_12,Russia_13,Russia_14,Russia_15,Russia_16,Russia_17,Russia_18,Russia_19,Russia_20,Russia_21,Russia_22,Russia_23
004f3d20a8e743a73c5c0fd4b92e72cf8c20a972,-0.0013913478125174234,0.0023294547454779276,-0.003240002117008942,0.00417732014629374,-0.004072805625676996,0.006638143121800032,-0.0008281310141257733,0.0052782511340193836,-0.000696912028107018,0.0015108441632151052,-7.204896468620495e-05,0.005160329831231326,-0.0003667487624992652,-0.0003285428982586399,0.0007033977240200372,-0.005273767287076162,,0.0014269065713568391,-0.0010801237870284742,0.0013735096912624151,-0.0015205966464109208,0.0009908694685635839,-0.0015400836235486108,-0.001907623779799126,0.0007842688485102503,-0.0011987050154071853,0.0007213201082590201,0.001435364822720964,0.0007691810611633926,-0.0007441754906471683,0.0013848802490739635,-0.0007730632454629128,0.001139388807998447,-0.0014542435958212448,0.0009003074864890474,0.001284772764995304,-0.0014118908794156873,0.0009823830048703614,-0.0008551241766538615,0.001272931366967116,-0.0009399599555784878,-0.000983816697337502,0.0009450826939131542,0.001051620814876075,-0.001555429847717792,-7.406197852764828e-05,0.0006336463633515397,0.0012084554210367398,-0.0007822724098789115,-0.0006849219802161897,-0.00026032833280816134,0.0010253217393249264,-0.001079526407965567,-0.001044623816226482,-0.0010232876108531254,0.0007143415505175205,0.0009757752328089678,-0.0015925537640486714,0.0019113976705040997,0.001141948339988763,-0.00032512947012103277,-0.0014518242063682463,0.0010796445443806701,-0.0008421777061968921,0.0012177102777550103,-0.00033231130206408735,1.0432221841362443e-05,0.0005515837193016265,-0.00048568915791549414,0.0010347042935119968,-6.147999111914522e-05,0.0012590580138087245,-0.0014095578601804291,0.0003779937160190627,3.058728943342113e-05,0.0004936312382723112,-0.0017973105531537588,0.0009889176373366363,-0.0014495113762668446,0.0009087719568111607,-0.0005997662085193319,0.0013059418144239793,-0.0007189915686429751
20minutos,-0.021918045410636786,,,,,,,,,,,,,,,,,0.005367536755240892,0.0007743698057084743,0.003132357291990246,-0.002055527002376292,0.0018988729869901335,-0.000399806338600788,-0.001745374539465197,0.0005753747714375497,-0.00042609771269671876,0.0018037779377283241,0.009349364197412852,0.003730168977236672,-0.002284097086113386,0.0013078274815309019,-0.002595365790198156,0.0014833686093366917,-0.001816897326526979,-0.0002065992184573141,0.0036084058517447982,-0.0024105697723413914,0.003753873393695338,-0.0015196664004266556,0.002249105963021711,-0.0009605772431339335,0.0003961455921635123,0.0005963567896781435,0.00490881191638467,-0.0007287695496623497,-0.0006210084581480714,-0.0014144814703434157,0.002326259095132821,-0.002855783274753335,-0.00029423917355544385,-0.000554330487812583,0.00388506053521034,-0.0023962028182194966,0.00020246993866446976,-0.0024613653300097466,0.0019659239846838866,0.0011661800032540504,-0.0013636775231888505,-0.0002816150973915556,0.003829319199100613,-0.015414965922225798,-0.0028122644560688026,0.005568895873584778,-0.009549662269666505,0.010595252431672933,0.0001497976811575194,0.009904649136635482,0.0011395547402150638,-0.005331984688458191,0.006290453347226138,-1.2194524818109204e-05,-0.0013093488323821512,-0.0004248246773963342,-0.005162860685907423,8.418216237124094e-05,-0.007750349724135739,-0.004610280883617486,0.0010949369219105708,0.0008855668470098832,0.00819458192274352,-0.012359773439087599,-0.0064096561997876375,0.00020826098325803233
antena3,-0.013433155431198301,,,,,,,,,,,,,,,,,0.0025324668097477655,9.72732758712554e-06,0.000618464185923893,-0.0007249304589822684,0.0004557901924531028,-0.0006844892841823633,-0.00028976861359773895,-0.0012310860208448085,-0.0009449337095196395,0.0005326887218664422,0.0010895947729867086,0.0004381581444456867,-0.00040555709670436486,0.0007819777361170605,-0.00041147789980559445,-0.0012550427910613057,-0.0010728072793835084,0.0006536260241012596,0.002843810519079791,-0.0006746736744962893,0.0005386816710434201,-0.0004792056564279696,0.0007153252345079986,-0.0005574984474349116,-0.00046389485121830815,-0.0014917346469416396,0.003147208999750799,-0.0015005198515360622,0.001388158772136628,-0.004136347944538196,0.001934102798142744,-0.004336209290415613,0.0013341494225412292,-0.0007177644810425695,0.0007388690831639237,-0.0030006245174105627,-0.00031355225935939283,0.0013586097221762819,0.0028027784543844733,0.0008461661697965156,,,,,,,,,,,,,,,,,,,,,,,,,,
cadenaser,-0.020532270323791013,,,,,,,,,,,,,,,,,0.00613238130754773,-0.005350290823268877,0.0028991754332724634,-0.003381277637174898,0.001862914933567078,-0.002491500325412205,-0.00244178037604368,0.0010228220264786037,-0.0018284311209666795,0.0011334748448866188,0.0017953604701075182,0.0009301098998063285,-0.0005634062610557662,0.0024837911515336805,-0.0010565371243524968,0.0016045107779384046,-0.001720901937398274,0.0010796523674705127,0.0021270961990417676,-0.0018405961017303497,0.0009686927549587589,-0.000795529063704413,0.0015396064838658213,-0.001895307489933662,-0.001113263163099086,0.001716298100425763,0.0011983753596569585,-0.0018215427299368217,-7.083930398049491e-05,0.00034272201008882924,0.0014047589646378452,-0.0011139771125422207,-0.0002739174704303113,-0.0003969025100902558,0.002025501592807101,-0.0013493206991107946,-0.001700659881949805,-0.0008200930541521143,0.0013376523713724436,0.001159960402198703,-0.013542178564681515,0.01114870153907721,0.00454763322809639,-0.011554449331961106,-0.011133632191518472,-0.000744012825117199,-0.0026485192909591337,-0.0023402437112740315,-0.002704592700165251,0.006332055234171505,0.006625685096030537,-0.003632520775986997,0.015369264284365955,4.5792270769646516e-05,0.0026991651558378182,-0.0020097193288582445,-0.001975224256923462,0.005595616480235271,-0.0053744091524818224,0.0009265281235299044,0.006803600444767459,-0.0017240289254338709,-0.004221284422444682,-0.00809477983616733,-0.0006320507182977497,0.008808878695796954
catalunyapress,-0.015749442608377406,,,,,,,,,,,,,,,,,0.0026906030334571023,-0.0011338940466765984,0.004942822802793295,-0.0028395113598431347,0.0029576764966772464,-0.0012940350198134528,-0.004120107491093535,-0.0007860143768936838,-0.0005106448313427245,0.0004633614837247958,0.003997509555446789,-0.0007948037834419768,-0.00025892666327521327,0.0034014070142445183,-0.0030416958181573085,0.0024008731033345206,-0.004632982369199048,0.0015205337201663772,0.0008196289223089263,-0.002538180942612127,0.00028147589372372436,-0.00048415890647045777,0.0026015889289307537,-0.000504393327753062,-0.0023902783688898913,0.002146433149198696,0.0025082433968253164,-0.0017621603735232872,-0.0012743754113147862,-2.7713505466784453e-05,0.0011364377006284193,-0.002899925877413802,0.002307699619835309,-0.0016175343054482293,0.0024214777872722556,-0.002627306492082454,-0.0003129032974432664,0.0009468532832529086,0.00582818297805185,-0.0009958363929799562,,,,,,,,,,,,,,,,,,,,,,,,,,
diariosur,-0.017055037204638634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eldiario,-0.005433973342357679,,,,,,,,,,,,,,,,0.004051117648098096,0.006613498227795935,-0.008988372116170793,0.0037065065685571606,-0.004715653304940458,0.002325324791435368,-0.0032308798931385274,-0.0038118437181091022,0.0012739468634719925,-0.00278916142135469,0.001210075726842427,0.0021940902441646495,0.0013323384459920681,-0.0012116907067420608,0.0035986211067283243,-0.0028761261302367325,0.0014640225678733418,-0.0025933935876306566,0.0014519207884201538,0.0020277311279910445,-0.002336977807911326,0.0014459936017188271,-0.0017393472897200115,0.001891184557220261,-0.0014402752637237427,-0.0016019544768418963,0.0014832348474780504,0.001303146276301194,-0.0019678246911027635,5.00222516456783e-05,0.0013913328911656754,0.001528816763587292,-0.00020535935518051652,-0.0005956666454177174,-0.00030083315010915706,0.0017006183877299194,-0.0013781103470743498,-0.0016451958657730738,-0.0016434580357329123,0.0012374136397253883,0.001363989115478862,-0.011714935953931721,0.015015204101765448,0.0032971416143212414,-0.010912589055940641,-0.0031475769582207658,-0.0004983008447718429,-0.002367147234575484,0.0019028573175732533,-0.004094119891227897,0.005939408372240258,0.0009931678708269033,0.000985237316915688,0.002148993616309325,0.0014778426160243288,0.0006478275369797559,-0.003966347547306064,0.0011274309879743712,-0.00021989051485531153,-0.000454882273707366,-0.002831029173465935,0.008490190714290406,-0.0018065202091937516,0.0029718011229708796,-0.0009917733015723448,0.004745920371665366,-0.0040613698788277
elespanol,-0.013562197579629759,,,,,,,,,,,,,,,,,0.003346211842287325,-0.00037697869035583503,0.001565979995198391,-0.0035521612147252635,0.0011129746975805238,0.00097128646882709,-0.0029455626660358364,0.0010228875422099576,3.513193902482392e-05,0.0013454965414020567,0.0050265661792749106,0.001563819930346981,-0.0005391782568915301,0.0010898063100949762,-0.0009534086163827567,0.0017889178404615902,-0.0010881295515411046,0.00028457591295020374,0.001135504285582272,-0.0017009093376407908,0.0007757725893075447,-0.0007579238265170152,0.002713652816850501,-0.002018621691717768,-0.0015754946939770496,0.0006195306950679894,0.0021071472132847373,-0.0026240993087998307,-0.0011088978337528812,-0.0004017753560486628,0.0037102983805584336,-0.003954821954729928,0.000337421108534677,-0.0007142486156548724,-0.000363430539342801,-0.0017553959029612586,-0.0008401288819194601,0.0016748523002711943,0.002542297634682515,0.0005977057778614181,-0.004353540644337572,-0.002039240621498295,0.005263449750046334,-0.00945205626082853,-0.003688183456230662,0.003440472879855133,-0.005691490425229593,-0.0028430756591121507,-0.0022546619760054126,-0.0016842786108393825,0.002491037028122028,-3.214546465664728e-05,0.004345050001163767,0.0015305238608318175,0.0006951554576464583,-0.005510857154368122,0.0030665180547437294,0.0006715610792457469,0.0012258903820046695,-0.0019672812562770703,0.001122527241561361,-0.0035304146605303517,0.00013609939304677111,-0.004184015706934504,0.002239542934767051,-0.004846675688409394
elmundo,-0.022741288873632422,,,,,,,,,,,,,,,,,0.002839925786022924,0.0026507182621618892,0.0014265718421601035,-0.0010838027585486736,0.0030796716434111776,0.000983602185835812,-0.0012521213712204347,-0.0003559531739868657,-0.00037627544550481416,0.002042394743519994,0.007380790807214529,-0.00015549669498477955,-0.0015198453459331256,0.0012655121467271555,-0.000252964136110347,0.0012608907827964108,-0.0016740647650748102,0.0010353972078344011,0.0009777155950291506,-0.0014449820398794704,0.0027463362779191324,-0.0007354443830954434,0.0012796877805393526,-0.0005452354439084029,-0.001095399708128825,5.157729547759435e-05,0.001608968209068272,-0.0017375096052880106,0.0006965174538601437,-0.0002887630183113221,0.002323577445932577,-0.00541606424901803,-0.0018022984702881781,0.0008077315326872275,-3.0390682192053646e-05,-0.0006676163981937707,-0.00022416027937944248,-0.002056948897654242,-0.0006384755299333953,1.953895412584207e-06,-0.005260394328931961,-0.017558745708374873,0.0030100475519250214,-0.01650975135320265,-0.007811500172934068,0.008998747022730534,-0.008183631365884972,-0.0024169490140020233,-0.0008440690338626725,0.0017324272583267367,0.002712822756675899,-0.001083611015865224,0.0006706014402955429,-4.686284724331018e-05,-0.002851653211468186,-0.004188667458782838,-0.001439783101520653,0.0010864594240671847,-0.005708380014799411,-0.0029038760121719437,0.0010848245572769206,0.003039481649579124,-0.0005674948910525217,-0.003986225897174254,-3.1545032233683615e-06,0.005978654508936572
elpais,-0.009730983050081656,0.006027350011237831,-0.01527356092473972,0.007101036933076052,-0.010937364601788301,0.007852633659855543,-0.0002701534622096156,0.011015483820284699,0.0008306488850071104,-0.0028460137229339,-0.0030073065005405994,0.014004908272206601,0.002239968673203423,0.007693968542889145,-7.320643729733444e-05,-0.002911906506203322,0.0032376304788592214,0.0059667111386285335,-0.004288514371437461,0.001732766768257163,-0.0007236256582718766,0.0019560601068977813,-0.0014735774866104882,-0.003042589937031631,9.513480339387766e-05,-0.0009699878801007443,0.0018254325141522864,0.003435408995237652,-0.0005508268154101447,-0.0007872364016234435,0.001987652265828532,-0.001375074614714633,0.0015298116859422718,-0.0018732063184218992,0.0006849403087721773,0.0018961942358919626,-0.00124941144766875,0.0011109245270643836,-0.0016940259931293232,0.0015035827608383184,-0.0014999732628073114,-0.0009559824874057236,0.0011522122677640077,0.0013203532847259373,-0.002048759002761906,-0.0005211514206655643,-9.538755145051389e-05,0.0014737909496090804,-0.0014060441062738174,-0.0014543541312257479,-0.0002450976936742757,0.0007966092078926347,-0.0013798444166594238,-0.0009682841482924476,-0.0018970128009099148,0.0011448805664165578,0.0008684546904193019,-0.01435690896574382,0.008753468540539433,0.006591252565484773,-0.01510372085275859,-0.008453465839718427,0.0042120385906878055,-0.004380204101863544,0.008079220593648018,0.0009767822190861197,0.005638019333233393,0.013198980824703402,-0.0062760032437519375,0.00928011598270731,3.400530802378371e-07,-0.0030570439035598473,-0.004647227397244259,0.003885118517055381,-0.0001406683649615016,0.0055936778652526595,-0.008447486025505796,0.002821257734772542,-0.004643716505810247,0.007920801093435459,0.00407857273383358,-0.00010760163623253077,-0.0014025550326622893
