level	number of topics	topics	topic_num	keywords
0	208	topic_0	0	empresa, compania, demanda, empleado, firma
0	208	topic_1	1	publico, trabajo, publicar, trabajar, personal
0	208	topic_2	2	estudio, cientifico, investigador, metodo, evidencia
0	208	topic_3	3	nivel, riesgo, poblacion, aumentar, efecto
0	208	topic_4	4	trabajador, laboral, minimo, jornada, mejora
0	208	topic_5	5	planta, emisión, tonelada, plastico, carbono
0	208	topic_6	6	tener, hacer, vez, ver, alguno
0	208	topic_7	7	mayor, casi, bajo, principal, ultimos
0	208	topic_8	8	hoy, propio, contar, llamado, formar
0	208	topic_9	9	dia, tambien, parte, llevar, asi
0	208	topic_10	10	energia, energetico, solar, bateria, combustible
0	208	topic_11	11	vehiculo, transporte, accidente, trafico, velocidad
0	208	topic_12	12	social, red
0	208	topic_13	13	politica, lider, campana, apoyo, debate
0	208	topic_14	14	conocer, aquel, nombre, pueblo, decada
0	208	topic_15	15	mientras, cerca, region, continuo, peligro
0	208	topic_16	16	producto, industria, produccion, consumo, vender
0	208	topic_17	17	coche, electrico, motor, fabricante, tesla
0	208	topic_18	18	localidad, edificio, municipio, provincia, habitante
0	208	topic_19	19	central, inter, reserva, deposito, hipoteca
0	208	topic_20	20	ser, solo, mismo, tratar, momento
0	208	topic_21	21	usuario, plataforma, contenido, digital, web
0	208	topic_22	22	cuenta, pagar, dinero, negocio, cliente
0	208	topic_23	23	utilizar, usar, crear, tecnologia, desarrollo
0	208	topic_24	24	mas, menos, cada, importante, especialmente
0	208	topic_25	25	nuevo, ahora, posible, permitir, actual
0	208	topic_26	26	precio, mercado, subir, venta, coste
0	208	topic_27	27	situacion, plan, puesto, privado, marcha
0	208	topic_28	28	dato, alcanzar, aumento, respecto, cifra
0	208	topic_29	29	guerra, alemania, conflicto, paz, republica
0	208	topic_30	30	programa, television, radio, ana, rosa
0	208	topic_31	31	texto, demasiado, corto, caracter, vineta
0	208	topic_32	32	manuel, empresario, francisco, corrupcion, javier
0	208	topic_33	33	seguridad, frente, objetivo, realizar, oficial
0	208	topic_34	34	ucrania, ruso, rusia, putin, invasion
0	208	topic_35	35	numero, trav, informacion, abrir, acceso
0	208	topic_36	36	ciudad, zona, metro, norte, isla
0	208	topic_37	37	ucraniano, kiev, tropa, ofensiva, bakhmut
0	208	topic_38	38	nacional, investigacion, fuente, informar, interior
0	208	topic_39	39	expresidente, trump, donald, asalto, presidencial
0	208	topic_40	40	unido, reino, britanico, irlanda, brexit
0	208	topic_41	41	unidos, estadounidense, eeuu, york, federal
0	208	topic_42	42	grupo, varios, intentar, dentro, organizacion
0	208	topic_43	43	politico, libertad, acto, discurso, victoria
0	208	topic_44	44	habiar, hecho, casa, cuerpo, teniar
0	208	topic_45	45	victima, matar, asesinato, madrugada, crimen
0	208	topic_46	46	autoridad, morir, muerto, herido, informo
0	208	topic_47	47	ministro, territorio, jefe, occidental, enviar
0	208	topic_48	48	turquia, suecia, terremoto, saudi, turco
0	208	topic_49	49	dos, tres, cuatro, cinco, seis
0	208	topic_50	50	arma, iran, irani, islamico, irak
0	208	topic_51	51	video, conocido, imagen, negro, objeto
0	208	topic_52	52	decir, claro, periodista, noticia, ganar
0	208	topic_53	53	estrella, universo, james, agujero, particula
0	208	topic_54	54	medio, seguir, ultimo, espanol, segundo
0	208	topic_55	55	tipo, prueba, carga, fallo, rango
0	208	topic_56	56	haber, quedar, presentar, mantener, recibir
0	208	topic_57	57	nino, hijo, padre, madre, escuela
0	208	topic_58	58	pelicula, cine, actor, ficcion, actriz
0	208	topic_59	59	serie, director, exito, canal, pagina
0	208	topic_60	60	derecha, extremo, ultraderecha, ultraderechista, lgbtq
0	208	topic_61	61	boys, proud, piramide, riar, fast
0	208	topic_62	62	ir, dar, dejar, pasar, poner
0	208	topic_63	63	mujer, hombre, joven, menor, edad
0	208	topic_64	64	derecho, legal, organización, aborto, embarazo
0	208	topic_65	65	poder, si, querer, entender, posibilidad
0	208	topic_66	66	libro, titulo, escribir, artista, personaje
0	208	topic_67	67	historia, cultura, ciencia, famoso, figura
0	208	topic_68	68	hablar, siempre, cosa, gente, nunca
0	208	topic_69	69	forma, mejor, buen, diferente, articulo
0	208	topic_70	70	gran, largo, mil, convertir, podrio
0	208	topic_71	71	país, europa, internacional, mundial, francia
0	208	topic_72	72	tras, pasado, despu, lunes, martes
0	208	topic_73	73	miembro, pleno, orden, defender, participar
0	208	topic_74	74	servicio, condición, afectado, area, acceder
0	208	topic_75	75	covid, virus, coronavirus, granja, mortalidad
0	208	topic_76	76	popular, santiago, gonzalez, institucional, casado
0	208	topic_77	77	mundo, grande, revista, ingl, convertir él
0	208	topic_78	78	millón, dolar, fondo, acción, suizo
0	208	topic_79	79	encontrar, lugar, resto, luz, pequeno
0	208	topic_80	80	musico, banda, cancion, concierto, disco
0	208	topic_81	81	the, of, metal, and, in
0	208	topic_82	82	ciudadano, mayoria, mayo, lista, proximo
0	208	topic_83	83	cambio, proyecto, incluir, proceso, accion
0	208	topic_84	84	google, software, microsoft, aplicación, apple
0	208	topic_85	85	espacial, lanzamiento, mision, luna, nave
