,PP,PSOE,CS,PODEMOS,IU,VOX,MasPais,PACMA
rtve,321.0,337.0,247.0,101.0,56.0,194.0,98.0,30.0
abc,880.0,28.0,930.0,24.0,19.0,514.0,54.0,58.0
elmundo,777.0,57.0,1326.0,70.0,54.0,582.0,133.0,48.0
atresplayer,155.0,174.0,132.0,39.0,5.0,13.0,77.0,7.0
cope,162.0,10.0,151.0,9.0,4.0,102.0,10.0,39.0
okdiario,232.0,,59.0,1.0,1.0,613.0,2.0,1.0
larazon,287.0,12.0,293.0,12.0,17.0,226.0,22.0,23.0
ondacero,100.0,59.0,92.0,15.0,16.0,3.0,25.0,17.0
telecinco,80.0,61.0,54.0,11.0,2.0,61.0,16.0,8.0
vozpopuli,179.0,2.0,363.0,4.0,4.0,199.0,9.0,4.0
youtube,217.0,498.0,658.0,2154.0,1897.0,1103.0,609.0,125.0
elespanol,213.0,41.0,1190.0,48.0,44.0,97.0,37.0,74.0
europapress,233.0,75.0,690.0,332.0,913.0,297.0,528.0,179.0
elconfidencial,187.0,35.0,466.0,139.0,56.0,206.0,215.0,40.0
telemadrid,48.0,8.0,37.0,18.0,7.0,25.0,64.0,14.0
cuatro,31.0,18.0,31.0,3.0,2.0,4.0,24.0,7.0
canalsur,54.0,17.0,18.0,2.0,18.0,8.0,2.0,
eltorotv,25.0,,3.0,,,567.0,,
elindependiente,82.0,8.0,152.0,14.0,2.0,59.0,21.0,8.0
cadenaser,69.0,330.0,122.0,234.0,228.0,7.0,501.0,47.0
eleconomista,62.0,9.0,67.0,21.0,11.0,44.0,18.0,5.0
elpais,97.0,523.0,460.0,1017.0,349.0,165.0,1169.0,152.0
lavanguardia,59.0,131.0,378.0,391.0,141.0,113.0,213.0,212.0
esdiario,36.0,,16.0,,,21.0,,39.0
libertaddigital,115.0,,128.0,,,434.0,1.0,
20minutos,35.0,30.0,113.0,244.0,30.0,30.0,214.0,98.0
elperiodico,29.0,71.0,148.0,148.0,55.0,55.0,38.0,30.0
lasexta,6.0,35.0,36.0,31.0,38.0,3.0,60.0,19.0
lavozdegalicia,53.0,14.0,132.0,13.0,7.0,10.0,8.0,68.0
eldiario,7.0,443.0,216.0,2131.0,1262.0,37.0,1749.0,199.0
huffingtonpost,7.0,100.0,45.0,158.0,37.0,4.0,257.0,10.0
facebook,7.0,37.0,32.0,68.0,96.0,7.0,25.0,31.0
twitch,1.0,45.0,3.0,105.0,23.0,17.0,157.0,7.0
infolibre,,66.0,4.0,248.0,142.0,4.0,261.0,4.0
publico,2.0,76.0,22.0,1191.0,637.0,4.0,470.0,150.0
laultimahora,,2.0,,298.0,28.0,,,1.0
elsaltodiario,,,,315.0,115.0,1.0,161.0,56.0
gaceta,,,2.0,,,379.0,,1.0
