source,url,bias,reliability,
"El Mundo",https://www.elmundo.es/espana/2021/04/06/606c3b9cfc6c8326308b4636.html,5.33,45.33,
"El Mundo",https://www.elmundo.es/espana/2021/04/05/6065d6e1fc6c8387608b4626.html,9.33,42.67,
"El Mundo",https://www.elmundo.es/madrid/2021/04/06/606bf66bfc6c8312198b4627.html,8.33,46.00,
"El Mundo",https://www.elmundo.es/economia/macroeconomia/2021/04/06/606c4f41fc6c83db3d8b45de.html,11.00,47.33,
"El Mundo",https://www.elmundo.es/motor/2021/04/06/606c5a8921efa032168b4655.html,0.00,51.00,
"Ultima Hora",https://www.ultimahora.es/noticias/internacional/2021/04/13/1254793/janssen-estados-unidos-paraliza-vacunacion-casos-trombos-detectados.html,-0.50,49.75,
"Ultima Hora",https://www.ultimahora.es/noticias/local/2021/04/13/1254585/anticorrupcio-vuelve-pedir-lista-vacunados-pero-solo-incluye-altos-cargos.html,-2.33,48.33,
"Ultima Hora",https://www.ultimahora.es/noticias/local/2021/04/13/1254583/atencion-primaria-sufrira-falta-medicos-por-jubilacion.html,-1.33,42.67,
"Ultima Hora",https://www.ultimahora.es/noticias/nacional/2021/04/13/1254701/coronavirus-madrid-criticas-ministros-asistieron-madrid-fashion-week.html,9.00,29.67,
"Ultima Hora",https://www.ultimahora.es/noticias/local/2021/04/12/1254515/coronavirus-baleares-competidores-turisticos-preparados-para-salvar-verano.html,4.00,46.33,
"El Norte de Castilla",https://www.elnortedecastilla.es/opinion/madrid-espana-20210419201609-nt.html,-0.67,33.33,
"El Norte de Castilla",https://www.elnortedecastilla.es/castillayleon/castilla-leon-crea-20210406094006-nt.html,0.67,51.00,
"El Norte de Castilla",https://www.elnortedecastilla.es/castillayleon/millones-euros-gastados-20210402201342-nt.html,1.33,45.67,
"El Norte de Castilla",https://www.elnortedecastilla.es/salamanca/concentraciones-repique-campanas-20210401113540-nt.html,-2.00,47.33,
"El Norte de Castilla",https://www.elnortedecastilla.es/valladolid/hosteleros-valladolid-tildan-20210419154524-nt.html,5.33,40.67,
"La Verdad",https://www.laverdad.es/murcia/aumentan-contagios-mayor-20210413130106-nt.html,0.00,47.33,
"La Verdad",https://www.laverdad.es/murcia/ciudad-murcia/municipio-debera-duplicar-20210413000750-ntvo.html,1.00,47.33,
"La Verdad",https://www.laverdad.es/murcia/ciudad-murcia/cinco-ediles-felipe-20210413000751-ntvo.html,0.00,48.67,
