source,domain,bias,reliability,
"Libre Mercado",.libremercado.com,16.17,28.00,
"Ara",.ara.cat,-12.54,43.37,
"Info Libre",.infolibre.es,-11.32,44.20,
"La Verdad",.laverdad.es,-1.87,47.17,
"Faro de Vigo",.farodevigo.es,-4.83,45.63,
"El Norte de Castilla",.elnortedecastilla.es,-1.59,43.70,
"Ultima Hora",.ultimahora.es,3.16,45.98,
"Diario Sur",.diariosur.es,1.71,44.10,
"Diario Vasco",.diariovasco.com,-3.95,45.40,
"Ideal",.ideal.es,-0.02,45.03,
"La Nueva Espana",.lne.es,4.82,42.83,
"Informacion",.informacion.es,2.95,45.23,
"Levante",.levante-emv.com,-2.49,44.80,
"Voz Populi",.vozpopuli.com,12.21,38.83,
"Heraldo",.heraldo.es,-4.92,44.37,
"Publico",.publico.es,-14.42,37.41,
"El Correo",.elcorreo.com,2.51,45.31,
"Libertad Digital",.libertaddigital.com,13.29,37.29,
"La Voz de Galicia",.lavozdegalicia.es,1.54,45.57,
"Huffington Post - Spain",.huffingtonpost.es,-8.71,37.23,
"Larazon",.larazon.es,13.50,38.93,
"El Periodico",.elperiodico.com,2.26,44.30,
"elDiario.es",.eldiario.es,-11.74,43.31,
"Ok Diario",.okdiario.com,16.23,17.54,
"El Confidencial",.elconfidencial.com,9.25,39.70,
"El Español",.elespanol.com,12.23,38.57,
"La Vanguardia",.lavanguardia.com,-2.85,45.93,
"ABC",.abc.es,12.13,36.56,
"El Mundo",.elmundo.es,10.00,43.57,
"El Pais",.elpais.com,-0.00,46.67
